MD Temperature:                      0.0010263940 H          324.1092 K
MD Temperature:                      0.0010160056 H          320.8288 K
MD Temperature:                      0.0010074850 H          318.1382 K
MD Temperature:                      0.0010006301 H          315.9736 K
MD Temperature:                      0.0009905167 H          312.7801 K
MD Temperature:                      0.0009802130 H          309.5264 K
MD Temperature:                      0.0009759099 H          308.1676 K
MD Temperature:                      0.0009735864 H          307.4339 K
MD Temperature:                      0.0009645255 H          304.5727 K
MD Temperature:                      0.0009484778 H          299.5052 K
MD Temperature:                      0.0009324608 H          294.4475 K
MD Temperature:                      0.0009200875 H          290.5403 K
MD Temperature:                      0.0009075395 H          286.5780 K
MD Temperature:                      0.0008921936 H          281.7321 K
MD Temperature:                      0.0008775230 H          277.0995 K
MD Temperature:                      0.0008666532 H          273.6671 K
MD Temperature:                      0.0008580806 H          270.9601 K
MD Temperature:                      0.0008472935 H          267.5538 K
MD Temperature:                      0.0008330952 H          263.0703 K
MD Temperature:                      0.0008188293 H          258.5655 K
MD Temperature:                      0.0008058930 H          254.4806 K
MD Temperature:                      0.0007924191 H          250.2259 K
MD Temperature:                      0.0007791076 H          246.0224 K
MD Temperature:                      0.0007710280 H          243.4711 K
MD Temperature:                      0.0007708181 H          243.4048 K
MD Temperature:                      0.0007744781 H          244.5606 K
MD Temperature:                      0.0007777089 H          245.5808 K
MD Temperature:                      0.0007820390 H          246.9481 K
